Symbol,Name,Sector,PRICINGDATE,PRICECLOSE
EXPD,Expeditors,Industrials,2007-11-19,43.930000
EXPD,Expeditors,Industrials,2007-11-20,43.580000
EXPD,Expeditors,Industrials,2007-11-21,43.490000
EXPD,Expeditors,Industrials,2007-11-23,43.640000
EXPD,Expeditors,Industrials,2007-11-26,42.720000
EXPD,Expeditors,Industrials,2007-11-27,43.710000
EXPD,Expeditors,Industrials,2007-11-28,45.070000
EXPD,Expeditors,Industrials,2007-11-29,44.620000
EXPD,Expeditors,Industrials,2007-11-30,46.920000
EXPD,Expeditors,Industrials,2007-12-03,45.970000
EXPD,Expeditors,Industrials,2007-12-04,46.210000
EXPD,Expeditors,Industrials,2007-12-05,47.460000
EXPD,Expeditors,Industrials,2007-12-06,47.770000
EXPD,Expeditors,Industrials,2007-12-07,48.380000
EXPD,Expeditors,Industrials,2007-12-10,48.290000
EXPD,Expeditors,Industrials,2007-12-11,46.400000
EXPD,Expeditors,Industrials,2007-12-12,47.270000
EXPD,Expeditors,Industrials,2007-12-13,46.950000
EXPD,Expeditors,Industrials,2007-12-14,45.850000
EXPD,Expeditors,Industrials,2007-12-17,44.990000
EXPD,Expeditors,Industrials,2007-12-18,44.790000
EXPD,Expeditors,Industrials,2007-12-19,44.800000
EXPD,Expeditors,Industrials,2007-12-20,45.720000
EXPD,Expeditors,Industrials,2007-12-21,46.320000
EXPD,Expeditors,Industrials,2007-12-24,46.580000
EXPD,Expeditors,Industrials,2007-12-26,46.480000
EXPD,Expeditors,Industrials,2007-12-27,45.190000
EXPD,Expeditors,Industrials,2007-12-28,45.770000
EXPD,Expeditors,Industrials,2007-12-31,44.680000
EXPD,Expeditors,Industrials,2008-01-02,43.490000
EXPD,Expeditors,Industrials,2008-01-03,43.560000
EXPD,Expeditors,Industrials,2008-01-04,41.210000
EXPD,Expeditors,Industrials,2008-01-07,41.450000
EXPD,Expeditors,Industrials,2008-01-08,40.500000
EXPD,Expeditors,Industrials,2008-01-09,40.500000
EXPD,Expeditors,Industrials,2008-01-10,40.630000
EXPD,Expeditors,Industrials,2008-01-11,40.570000
EXPD,Expeditors,Industrials,2008-01-14,42.270000
EXPD,Expeditors,Industrials,2008-01-15,41.520000
EXPD,Expeditors,Industrials,2008-01-16,42.450000
EXPD,Expeditors,Industrials,2008-01-17,41.610000
EXPD,Expeditors,Industrials,2008-01-18,43.510000
EXPD,Expeditors,Industrials,2008-01-22,42.760000
EXPD,Expeditors,Industrials,2008-01-23,47.230000
EXPD,Expeditors,Industrials,2008-01-24,44.360000
EXPD,Expeditors,Industrials,2008-01-25,44.740000
EXPD,Expeditors,Industrials,2008-01-28,45.520000
EXPD,Expeditors,Industrials,2008-01-29,45.770000
EXPD,Expeditors,Industrials,2008-01-30,46.280000
EXPD,Expeditors,Industrials,2008-01-31,47.290000
EXPD,Expeditors,Industrials,2008-02-01,46.970000
EXPD,Expeditors,Industrials,2008-02-04,45.980000
EXPD,Expeditors,Industrials,2008-02-05,44.870000
EXPD,Expeditors,Industrials,2008-02-06,44.480000
EXPD,Expeditors,Industrials,2008-02-07,46.010000
EXPD,Expeditors,Industrials,2008-02-08,43.600000
EXPD,Expeditors,Industrials,2008-02-11,44.800000
EXPD,Expeditors,Industrials,2008-02-12,40.950000
EXPD,Expeditors,Industrials,2008-02-13,40.920000
EXPD,Expeditors,Industrials,2008-02-14,40.190000
EXPD,Expeditors,Industrials,2008-02-15,41.360000
EXPD,Expeditors,Industrials,2008-02-19,40.480000
EXPD,Expeditors,Industrials,2008-02-20,41.610000
EXPD,Expeditors,Industrials,2008-02-21,40.570000
EXPD,Expeditors,Industrials,2008-02-22,40.830000
EXPD,Expeditors,Industrials,2008-02-25,41.230000
EXPD,Expeditors,Industrials,2008-02-26,41.500000
EXPD,Expeditors,Industrials,2008-02-27,41.710000
EXPD,Expeditors,Industrials,2008-02-28,40.570000
EXPD,Expeditors,Industrials,2008-02-29,39.320000
EXPD,Expeditors,Industrials,2008-03-03,40.760000
EXPD,Expeditors,Industrials,2008-03-04,41.030000
EXPD,Expeditors,Industrials,2008-03-05,41.840000
EXPD,Expeditors,Industrials,2008-03-06,40.230000
EXPD,Expeditors,Industrials,2008-03-07,39.760000
EXPD,Expeditors,Industrials,2008-03-10,38.270000
EXPD,Expeditors,Industrials,2008-03-11,41.020000
EXPD,Expeditors,Industrials,2008-03-12,41.000000
EXPD,Expeditors,Industrials,2008-03-13,41.060000
EXPD,Expeditors,Industrials,2008-03-14,39.700000
EXPD,Expeditors,Industrials,2008-03-17,39.270000
EXPD,Expeditors,Industrials,2008-03-18,41.790000
EXPD,Expeditors,Industrials,2008-03-19,41.080000
EXPD,Expeditors,Industrials,2008-03-20,44.150000
EXPD,Expeditors,Industrials,2008-03-24,45.420000
EXPD,Expeditors,Industrials,2008-03-25,45.940000
EXPD,Expeditors,Industrials,2008-03-26,44.340000
EXPD,Expeditors,Industrials,2008-03-27,44.910000
EXPD,Expeditors,Industrials,2008-03-28,44.000000
EXPD,Expeditors,Industrials,2008-03-31,45.180000
EXPD,Expeditors,Industrials,2008-04-01,47.560000
EXPD,Expeditors,Industrials,2008-04-02,47.260000
EXPD,Expeditors,Industrials,2008-04-03,47.300000
EXPD,Expeditors,Industrials,2008-04-04,47.840000
EXPD,Expeditors,Industrials,2008-04-07,46.840000
EXPD,Expeditors,Industrials,2008-04-08,47.030000
EXPD,Expeditors,Industrials,2008-04-09,45.490000
EXPD,Expeditors,Industrials,2008-04-10,46.140000
EXPD,Expeditors,Industrials,2008-04-11,45.340000
EXPD,Expeditors,Industrials,2008-04-14,45.160000
EXPD,Expeditors,Industrials,2008-04-15,45.910000
EXPD,Expeditors,Industrials,2008-04-16,47.620000
EXPD,Expeditors,Industrials,2008-04-17,46.550000
EXPD,Expeditors,Industrials,2008-04-18,48.650000
EXPD,Expeditors,Industrials,2008-04-21,46.810000
EXPD,Expeditors,Industrials,2008-04-22,46.280000
EXPD,Expeditors,Industrials,2008-04-23,46.340000
EXPD,Expeditors,Industrials,2008-04-24,46.890000
EXPD,Expeditors,Industrials,2008-04-25,46.700000
EXPD,Expeditors,Industrials,2008-04-28,47.290000
EXPD,Expeditors,Industrials,2008-04-29,47.350000
EXPD,Expeditors,Industrials,2008-04-30,46.590000
EXPD,Expeditors,Industrials,2008-05-01,48.400000
EXPD,Expeditors,Industrials,2008-05-02,48.950000
EXPD,Expeditors,Industrials,2008-05-05,48.180000
EXPD,Expeditors,Industrials,2008-05-06,48.980000
EXPD,Expeditors,Industrials,2008-05-07,46.940000
EXPD,Expeditors,Industrials,2008-05-08,47.310000
EXPD,Expeditors,Industrials,2008-05-09,46.930000
EXPD,Expeditors,Industrials,2008-05-12,47.960000
EXPD,Expeditors,Industrials,2008-05-13,47.390000
EXPD,Expeditors,Industrials,2008-05-14,47.640000
EXPD,Expeditors,Industrials,2008-05-15,47.930000
EXPD,Expeditors,Industrials,2008-05-16,47.190000
EXPD,Expeditors,Industrials,2008-05-19,47.110000
EXPD,Expeditors,Industrials,2008-05-20,46.710000
EXPD,Expeditors,Industrials,2008-05-21,45.570000
EXPD,Expeditors,Industrials,2008-05-22,45.680000
EXPD,Expeditors,Industrials,2008-05-23,44.270000
EXPD,Expeditors,Industrials,2008-05-27,45.490000
EXPD,Expeditors,Industrials,2008-05-28,45.810000
EXPD,Expeditors,Industrials,2008-05-29,47.060000
EXPD,Expeditors,Industrials,2008-05-30,47.080000
EXPD,Expeditors,Industrials,2008-06-02,46.290000
EXPD,Expeditors,Industrials,2008-06-03,46.320000
EXPD,Expeditors,Industrials,2008-06-04,47.200000
EXPD,Expeditors,Industrials,2008-06-05,48.050000
EXPD,Expeditors,Industrials,2008-06-06,45.580000
EXPD,Expeditors,Industrials,2008-06-09,46.320000
EXPD,Expeditors,Industrials,2008-06-10,46.250000
EXPD,Expeditors,Industrials,2008-06-11,43.990000
EXPD,Expeditors,Industrials,2008-06-12,43.870000
EXPD,Expeditors,Industrials,2008-06-13,44.180000
EXPD,Expeditors,Industrials,2008-06-16,44.110000
EXPD,Expeditors,Industrials,2008-06-17,43.570000
EXPD,Expeditors,Industrials,2008-06-18,42.490000
EXPD,Expeditors,Industrials,2008-06-19,44.170000
EXPD,Expeditors,Industrials,2008-06-20,42.900000
EXPD,Expeditors,Industrials,2008-06-23,43.040000
EXPD,Expeditors,Industrials,2008-06-24,43.190000
EXPD,Expeditors,Industrials,2008-06-25,43.890000
EXPD,Expeditors,Industrials,2008-06-26,42.350000
EXPD,Expeditors,Industrials,2008-06-27,42.850000
EXPD,Expeditors,Industrials,2008-06-30,43.000000
EXPD,Expeditors,Industrials,2008-07-01,42.510000
EXPD,Expeditors,Industrials,2008-07-02,40.850000
EXPD,Expeditors,Industrials,2008-07-03,41.810000
EXPD,Expeditors,Industrials,2008-07-07,41.940000
EXPD,Expeditors,Industrials,2008-07-08,44.170000
EXPD,Expeditors,Industrials,2008-07-09,43.140000
EXPD,Expeditors,Industrials,2008-07-10,43.150000
EXPD,Expeditors,Industrials,2008-07-11,41.450000
EXPD,Expeditors,Industrials,2008-07-14,41.480000
EXPD,Expeditors,Industrials,2008-07-15,40.300000
EXPD,Expeditors,Industrials,2008-07-16,42.550000
EXPD,Expeditors,Industrials,2008-07-17,43.550000
EXPD,Expeditors,Industrials,2008-07-18,44.210000
EXPD,Expeditors,Industrials,2008-07-21,42.130000
EXPD,Expeditors,Industrials,2008-07-22,40.300000
EXPD,Expeditors,Industrials,2008-07-23,38.720000
EXPD,Expeditors,Industrials,2008-07-24,36.460000
EXPD,Expeditors,Industrials,2008-07-25,37.140000
EXPD,Expeditors,Industrials,2008-07-28,35.000000
EXPD,Expeditors,Industrials,2008-07-29,35.480000
EXPD,Expeditors,Industrials,2008-07-30,35.330000
EXPD,Expeditors,Industrials,2008-07-31,35.510000
EXPD,Expeditors,Industrials,2008-08-01,33.760000
EXPD,Expeditors,Industrials,2008-08-04,35.000000
EXPD,Expeditors,Industrials,2008-08-05,36.510000
EXPD,Expeditors,Industrials,2008-08-06,34.730000
EXPD,Expeditors,Industrials,2008-08-07,34.750000
EXPD,Expeditors,Industrials,2008-08-08,35.750000
EXPD,Expeditors,Industrials,2008-08-11,35.160000
EXPD,Expeditors,Industrials,2008-08-12,34.990000
EXPD,Expeditors,Industrials,2008-08-13,35.310000
EXPD,Expeditors,Industrials,2008-08-14,36.540000
EXPD,Expeditors,Industrials,2008-08-15,36.720000
EXPD,Expeditors,Industrials,2008-08-18,36.120000
EXPD,Expeditors,Industrials,2008-08-19,35.450000
EXPD,Expeditors,Industrials,2008-08-20,35.300000
EXPD,Expeditors,Industrials,2008-08-21,35.260000
EXPD,Expeditors,Industrials,2008-08-22,36.230000
EXPD,Expeditors,Industrials,2008-08-25,35.120000
EXPD,Expeditors,Industrials,2008-08-26,35.120000
EXPD,Expeditors,Industrials,2008-08-27,35.880000
EXPD,Expeditors,Industrials,2008-08-28,37.030000
EXPD,Expeditors,Industrials,2008-08-29,36.090000
EXPD,Expeditors,Industrials,2008-09-02,36.140000
EXPD,Expeditors,Industrials,2008-09-03,35.670000
EXPD,Expeditors,Industrials,2008-09-04,34.410000
EXPD,Expeditors,Industrials,2008-09-05,34.140000
EXPD,Expeditors,Industrials,2008-09-08,34.450000
EXPD,Expeditors,Industrials,2008-09-09,33.660000
EXPD,Expeditors,Industrials,2008-09-10,34.760000
EXPD,Expeditors,Industrials,2008-09-11,35.730000
EXPD,Expeditors,Industrials,2008-09-12,35.410000
EXPD,Expeditors,Industrials,2008-09-15,36.350000
EXPD,Expeditors,Industrials,2008-09-16,37.050000
EXPD,Expeditors,Industrials,2008-09-17,35.750000
EXPD,Expeditors,Industrials,2008-09-18,38.640000
EXPD,Expeditors,Industrials,2008-09-19,38.400000
EXPD,Expeditors,Industrials,2008-09-22,36.310000
EXPD,Expeditors,Industrials,2008-09-23,35.630000
EXPD,Expeditors,Industrials,2008-09-24,35.640000
EXPD,Expeditors,Industrials,2008-09-25,36.060000
EXPD,Expeditors,Industrials,2008-09-26,36.170000
EXPD,Expeditors,Industrials,2008-09-29,34.850000
