,Series6_1,Series6_2,Series6_3,Series16_1,Series16_2,Series16_3,Target
ACE2,-1.4659669890684193,-0.014681050891450824,-2.786656586202975,0.986675778875984,-1.1142439372236477,-0.7402899315772415,1.0
AGTR1,-1.7369655941662063,0.0,-2.938599455335857,0.8214026965432369,-0.9288089521430473,-0.8513559186448647,1.0
NFKB1,0.14767716804225986,1.096215315259303,-1.9701294704178625,3.7757848430567345,1.6067888631743346,1.9178408951690593,1.0
RELA,-2.0657241822228363,-0.7865963618908067,-3.714419430636123,1.7820684804467455,-0.22499070216642664,-0.018585700400031553,1.0
IL12A,-1.3219280948873622,-1.5849625007211563,-3.3692338096657193,2.584962500721156,-0.4854268271702417,0.6280312226130421,1.0
CCL2,1.4027591695004071,1.8898170822495772,-0.6578940231750073,3.0898182622484693,1.4598853676710388,1.4309519886422175,1.0
ISG15,-1.4854268271702415,-0.22239242133644802,-3.9772799234999168,5.294620748891627,2.5376567859427994,3.176877762084079,1.0
IFIH1,0.16349873228287956,-2.321928094887362,-2.8073549220576046,6.126991205436977,3.3719687773869578,3.286304185156641,1.0
TBK1,-1.0293620596313433,0.30039493333772094,-2.3789590399237412,2.271847475640103,0.03520987757380043,0.6529105038798217,1.0
C2,-2.0641303374197157,0.0,-3.4594316186372978,2.3923174227787602,0.7776075786635519,1.0,1.0
C3,-0.12723117107369827,1.4669784276906457,-1.6800097093541302,1.3811458086398485,-1.0149570805280532,-0.9688520380452467,1.0
C5,-1.5720655067067146,0.3346640828148238,-2.4639470997597903,-1.334300019556332,-3.7219634308269596,-3.631959980258326,1.0
C1R,0.17531826021253086,1.9719856238304034,-1.1909427827113954,2.0404142684459083,-0.4207602161871068,-0.5897349001802045,1.0
C1S,-0.7016587254302534,1.237863830098888,-1.7369655941662063,0.9958363750584638,-1.335830231432287,-1.3263946465692535,1.0
FGA,-0.006663730281010743,1.831877241191673,-0.855877429689196,0.9578745243273235,-1.2625395695947157,-0.6401040549136171,1.0
FGB,0.018591688226944965,1.954912110471462,-0.6963837833895793,0.44170544974092374,-1.6526012175965195,-1.8914191868460788,1.0
FGG,-0.14408499650705273,1.6045913074700888,-0.9613540721005168,0.874469117916141,-1.8628500346493078,-1.5360529002402097,1.0
