,Series6_1,Series6_2,Series6_3,Series16_1,Series16_2,Series16_3,Target
AP1S1,-2.776858321289719,-1.1549746599763409,-3.9627556503340964,-0.22663564510378736,-2.2886947917046028,-2.2250875370854746,0.0
NASP,-2.2366343439122267,-0.3461756411340397,-3.628722886249569,0.40585417711350835,-1.6857526421942617,-1.5235619560570128,0.0
ADAM19,-0.9079708615076546,1.4288432988038744,-2.9719856238304034,1.111031312388744,-0.5920172582551065,-0.7033829936418252,0.0
CNTNAP3,-2.6459919341187157,-0.7369655941662062,-3.6537716586398075,-0.36257007938470825,-2.7713756249520376,-2.352714220307013,0.0
SFI1,-2.357552004618084,-1.15200309344505,-3.070389327891398,1.0995356735509143,-1.9349049717781153,-1.2439255828860891,0.0
HNRNPA1P33,-2.599912842187128,-1.4594316186372973,-4.009460329249067,-0.5849625007211563,-2.3393101731155985,-2.916476644437717,0.0
ZNF143,-1.3318435637524453,0.16046467219324612,-2.7188182474559466,2.515253528909752,0.9148833863620492,1.220125814364503,0.0
TFAP4,-2.1699250014423126,-0.4854268271702417,-4.768184324776927,0.6629650127224294,-2.070389327891398,-2.4474589769712214,0.0
ZNF225,-0.7416880044086094,0.6374299206152918,-3.146841388329271,1.784271308944563,-0.5849625007211563,0.028014376169596476,0.0
GLUD1P3,-1.20945336562895,-1.3219280948873622,-3.700439718141092,1.3785116232537298,0.5849625007211562,-0.4854268271702417,0.0
ZBTB24,-1.4228570037381432,-1.070389327891398,-2.9848931076097918,1.2313255461064558,-1.2313255461064558,-0.4964258261194988,0.0
CAPZA1,-2.182052692196452,-1.011972641666076,-3.6354378140814005,0.32854597365187016,-1.5932301167047567,-1.298772187070229,0.0
SERINC3,-2.885806994313639,-1.0221957461141962,-4.062330882199912,-0.500239821815729,-2.646431900893767,-2.4850436921153043,0.0
LEO1,-2.841489677825426,-1.158429362604483,-3.0809199953835673,0.44334789530222113,-1.4367115421372136,-0.839383776250242,0.0
CCT6P3,-1.9634741239748863,1.5849625007211563,-2.415037499278844,1.0995356735509143,-0.33703498727757075,-0.6438561897747247,0.0
THAP9,-2.027480736422107,-0.7369655941662062,-1.7655347463629771,1.5025003405291835,-0.7004397181410922,-1.7914133781885828,0.0
GTPBP10,-2.0078195044592992,-0.332575339086871,-2.5786209738473294,0.7062687969432897,-1.1832218240557701,-0.7162070339994087,0.0
UBE3A,-1.9409915882680768,-0.26607486015384485,-3.004501392234941,0.8131652200476049,-1.5616389782301796,-0.8799891384718048,0.0
FRAT2,-2.0539948896407294,-0.6520766965796932,-4.336283387864433,0.8556100906648252,-1.3882705897160585,-1.3318435637524453,0.0
SFRP1,-2.0223678130284544,-0.18641312423088136,-3.7548875021634687,1.0399664073176447,-1.1767301793474267,-0.9830269213962863,0.0
MCCC1,-2.0816384690243575,-0.24100809950379493,-3.602036014080098,1.0972972013549147,-1.8650704199138914,-1.2410080995037949,0.0
ELF4,-2.4249432422520067,-0.4791678366985595,-3.996776099125714,0.9344116583724233,-1.4205251249172746,-0.8593395930628824,0.0
H1F0,-0.6181484387150562,0.6193140055119332,-2.3136997738700824,1.7451615216586052,-0.33351117243796063,-0.03182305797732469,0.0
GTF2H2,-2.018859027251316,-2.0,-2.584962500721156,-1.0,-1.3479233034203069,-0.84799690655495,0.0
