Date,Start (ET),Visitor,PTS,Home,PTS,Attend.
"Tue, Dec 22, 2020",7:00p,Golden State Warriors,99,Brooklyn Nets,125,0
"Tue, Dec 22, 2020",10:00p,Los Angeles Clippers,116,Los Angeles Lakers,109,0
"Wed, Dec 23, 2020",7:00p,Charlotte Hornets,114,Cleveland Cavaliers,121,300
"Wed, Dec 23, 2020",7:00p,New York Knicks,107,Indiana Pacers,121,0
"Wed, Dec 23, 2020",7:00p,Miami Heat,107,Orlando Magic,113,"3,396"
"Wed, Dec 23, 2020",7:00p,Washington Wizards,107,Philadelphia 76ers,113,0
"Wed, Dec 23, 2020",7:30p,New Orleans Pelicans,113,Toronto Raptors,99,"3,800"
"Wed, Dec 23, 2020",7:30p,Milwaukee Bucks,121,Boston Celtics,122,0
"Wed, Dec 23, 2020",8:00p,Atlanta Hawks,124,Chicago Bulls,104,0
"Wed, Dec 23, 2020",8:00p,San Antonio Spurs,131,Memphis Grizzlies,119,0
"Wed, Dec 23, 2020",8:00p,Detroit Pistons,101,Minnesota Timberwolves,111,0
"Wed, Dec 23, 2020",9:00p,Sacramento Kings,124,Denver Nuggets,122,0
"Wed, Dec 23, 2020",10:00p,Utah Jazz,120,Portland Trail Blazers,100,0
"Wed, Dec 23, 2020",10:30p,Dallas Mavericks,102,Phoenix Suns,106,0
"Fri, Dec 25, 2020",12:00p,New Orleans Pelicans,98,Miami Heat,111,0
"Fri, Dec 25, 2020",2:30p,Golden State Warriors,99,Milwaukee Bucks,138,0
"Fri, Dec 25, 2020",5:00p,Brooklyn Nets,123,Boston Celtics,95,0
"Fri, Dec 25, 2020",8:00p,Dallas Mavericks,115,Los Angeles Lakers,138,0
"Fri, Dec 25, 2020",10:30p,Los Angeles Clippers,121,Denver Nuggets,108,0
"Sat, Dec 26, 2020",5:00p,Atlanta Hawks,122,Memphis Grizzlies,112,0
"Sat, Dec 26, 2020",7:00p,Oklahoma City Thunder,109,Charlotte Hornets,107,0
"Sat, Dec 26, 2020",7:00p,Cleveland Cavaliers,128,Detroit Pistons,119,0
"Sat, Dec 26, 2020",7:00p,Orlando Magic,130,Washington Wizards,120,0
"Sat, Dec 26, 2020",7:30p,Philadelphia 76ers,109,New York Knicks,89,0
"Sat, Dec 26, 2020",8:00p,Indiana Pacers,125,Chicago Bulls,106,0
"Sat, Dec 26, 2020",8:30p,Toronto Raptors,114,San Antonio Spurs,119,0
"Sat, Dec 26, 2020",9:00p,Minnesota Timberwolves,116,Utah Jazz,111,"1,932"
"Sat, Dec 26, 2020",10:00p,Houston Rockets,126,Portland Trail Blazers,128,0
"Sat, Dec 26, 2020",10:00p,Phoenix Suns,103,Sacramento Kings,106,0
