Home Team,Away Team,Winner
Wales,Denmark,Denmark
Italy,Austria,Italy
Netherland,Czech Republic,Czech Republic
Belgium,Portugal,Belgium
Croatia,Spain,Spain
France,Switzerland,Czech Republic
England,Germany,England
Sweden,Ukraine,Ukraine
